Champ Name,Public Imgur Link
Aatrox,https://i.imgur.com/ZabeXjx.jpg
Ahri,https://i.imgur.com/8BW3sUo.jpg
Akali,https://i.imgur.com/ijiTJiq.jpg
Akshan,https://i.imgur.com/d2ZZVmV.jpg
Alistar,https://i.imgur.com/FamWLxl.jpg
Amumu,https://i.imgur.com/Gnl3yEX.jpg
Anivia,https://i.imgur.com/OBYDBCQ.jpg
Annie,https://i.imgur.com/EsPK81f.jpg
Aphelios,https://i.imgur.com/yv6KDRq.jpg
Ashe,https://i.imgur.com/XNXoKRf.jpg
AurelionSol,https://i.imgur.com/6RgrHuV.jpg
Azir,https://i.imgur.com/0j2Tfko.jpg
Bard,https://i.imgur.com/GW9VHgg.jpg
Blitzcrank,https://i.imgur.com/Bs9p0n9.jpg
Brand,https://i.imgur.com/z6HkJmb.jpg
Braum,https://i.imgur.com/93nTJoT.jpg
Caitlyn,https://i.imgur.com/hMO0QQ2.jpg
Camille,https://i.imgur.com/GSQtdG3.jpg
Cassiopeia,https://i.imgur.com/yQvXLi9.jpg
Chogath,https://i.imgur.com/2K9NO04.jpg
Corki,https://i.imgur.com/c3Mu7Jh.jpg
Darius,https://i.imgur.com/fGqDwlE.jpg
Diana,https://i.imgur.com/Py9zU60.jpg
Draven,https://i.imgur.com/mSbggFG.jpg
DrMundo,https://i.imgur.com/Rg0OqEE.jpg
Ekko,https://i.imgur.com/WsN7Q7Q.jpg
Elise,https://i.imgur.com/doe4UM4.jpg
Evelynn,https://i.imgur.com/SLyJ4br.jpg
Ezreal,https://i.imgur.com/zAls9sY.jpg
FiddleSticks,https://i.imgur.com/a7D88DL.jpg
Fiora,https://i.imgur.com/HZrgSJp.jpg
Fizz,https://i.imgur.com/c0tLqVq.jpg
Galio,https://i.imgur.com/gdjGK5M.jpg
Gangplank,https://i.imgur.com/uyujcF3.jpg
Garen,https://i.imgur.com/hNpjB4U.jpg
Gnar,https://i.imgur.com/VbYNtFl.jpg
Gragas,https://i.imgur.com/Z26kH3U.jpg
Graves,https://i.imgur.com/Y247BN9.jpg
Gwen,https://i.imgur.com/yilYr6I.jpg
Hecarim,https://i.imgur.com/8l4Pqyy.jpg
Heimerdinger,https://i.imgur.com/NuBkEG4.jpg
Illaoi,https://i.imgur.com/EIOgPe8.jpg
Irelia,https://i.imgur.com/Vs6x89B.jpg
Ivern,https://i.imgur.com/A8ByHk8.jpg
Janna,https://i.imgur.com/c431eOg.jpg
JarvanIV,https://i.imgur.com/s7Omd7l.jpg
Jax,https://i.imgur.com/CYIxbdq.jpg
Jayce,https://i.imgur.com/SpB9pDY.jpg
Jhin,https://i.imgur.com/o8fbATP.jpg
Jinx,https://i.imgur.com/CO6yL95.jpg
Kaisa,https://i.imgur.com/7ImIIIq.jpg
Kalista,https://i.imgur.com/zDXmXBg.jpg
Karma,https://i.imgur.com/Xot0Q4H.jpg
Karthus,https://i.imgur.com/BwDOoFx.jpg
Kassadin,https://i.imgur.com/oBupehx.jpg
Katarina,https://i.imgur.com/V6NL8I2.jpg
Kayle,https://i.imgur.com/U4Cxz6L.jpg
Kayn,https://i.imgur.com/RAglTNp.jpg
Kennen,https://i.imgur.com/1grpKvf.jpg
Khazix,https://i.imgur.com/BYFBlXq.jpg
Kindred,https://i.imgur.com/FpdC0ZS.jpg
Kled,https://i.imgur.com/LkL8BoP.jpg
KogMaw,https://i.imgur.com/YOwGC8a.jpg
Leblanc,https://i.imgur.com/zUAk25d.jpg
LeeSin,https://i.imgur.com/1gb5fr8.jpg
Leona,https://i.imgur.com/UPMY9iu.jpg
Lillia,https://i.imgur.com/tnaCufE.jpg
Lissandra,https://i.imgur.com/kL8R0Ii.jpg
Lucian,https://i.imgur.com/kZ5KmIJ.jpg
Lulu,https://i.imgur.com/Lf16ci5.jpg
Lux,https://i.imgur.com/0Tx8d36.jpg
Malphite,https://i.imgur.com/oKg13dQ.jpg
Malzahar,https://i.imgur.com/iRP5eN1.jpg
Maokai,https://i.imgur.com/W7QiSlt.jpg
MasterYi,https://i.imgur.com/zQiJy0M.jpg
MissFortune,https://i.imgur.com/G1V7KsM.jpg
MonkeyKing,https://i.imgur.com/c3o7EDX.jpg
Mordekaiser,https://i.imgur.com/pA920y4.jpg
Morgana,https://i.imgur.com/CGUPbSX.jpg
Nami,https://i.imgur.com/DhqLUJB.jpg
Nasus,https://i.imgur.com/pDjmEzQ.jpg
Nautilus,https://i.imgur.com/SX5xCdJ.jpg
Neeko,https://i.imgur.com/I12zgpT.jpg
Nidalee,https://i.imgur.com/mRKuihE.jpg
Nocturne,https://i.imgur.com/ACiRiH3.jpg
Nunu,https://i.imgur.com/rBw907k.jpg
Olaf,https://i.imgur.com/T7aeHW2.jpg
Orianna,https://i.imgur.com/44g4oew.jpg
Ornn,https://i.imgur.com/skGVjD3.jpg
Pantheon,https://i.imgur.com/i1AoU5r.jpg
Poppy,https://i.imgur.com/PKrGBkG.jpg
Pyke,https://i.imgur.com/gHU8Gb7.jpg
Qiyana,https://i.imgur.com/CKJxS7H.jpg
Quinn,https://i.imgur.com/v3rgo6u.jpg
Rakan,https://i.imgur.com/6FBzY4Z.jpg
Rammus,https://i.imgur.com/aHY7nAi.jpg
RekSai,https://i.imgur.com/Z1Mrn2m.jpg
Rell,https://i.imgur.com/w2xgGVi.jpg
Renata,https://i.imgur.com/NxFCm9q.jpg
Renekton,https://i.imgur.com/kJ6OcZx.jpg
Rengar,https://i.imgur.com/98uVZlH.jpg
Riven,https://i.imgur.com/r2p5fPW.jpg
Rumble,https://i.imgur.com/ijYqREF.jpg
Ryze,https://i.imgur.com/ytYdrT0.jpg
Samira,https://i.imgur.com/3UWclf0.jpg
Sejuani,https://i.imgur.com/JVqYdVi.jpg
Senna,https://i.imgur.com/fpIFu8C.jpg
Seraphine,https://i.imgur.com/215n1bY.jpg
Sett,https://i.imgur.com/D35Xk0P.jpg
Shaco,https://i.imgur.com/7NyyF85.jpg
Shen,https://i.imgur.com/XY0c0F8.jpg
Shyvana,https://i.imgur.com/BIYgxSl.jpg
Singed,https://i.imgur.com/bUZXrWa.jpg
Sion,https://i.imgur.com/TmtZOTM.jpg
Sivir,https://i.imgur.com/AIDfZIp.jpg
Skarner,https://i.imgur.com/r26cKsM.jpg
Sona,https://i.imgur.com/uQilQQ7.jpg
Soraka,https://i.imgur.com/a3DTjKO.jpg
Swain,https://i.imgur.com/06SYf1D.jpg
Sylas,https://i.imgur.com/Qu2RHHj.jpg
Syndra,https://i.imgur.com/mVa1H9S.jpg
TahmKench,https://i.imgur.com/18rcspS.jpg
Taliyah,https://i.imgur.com/NxzujsK.jpg
Talon,https://i.imgur.com/SBuQtuY.jpg
Taric,https://i.imgur.com/SRDduxs.jpg
Teemo,https://i.imgur.com/qXywwq7.jpg
Thresh,https://i.imgur.com/oPM70Qp.jpg
Tristana,https://i.imgur.com/pHvR0MJ.jpg
Trundle,https://i.imgur.com/RtP87j3.jpg
Tryndamere,https://i.imgur.com/yfkjabF.jpg
Urgot,https://i.imgur.com/tpPSEt3.jpg
Varus,https://i.imgur.com/YweoSx2.jpg
Vayne,https://i.imgur.com/BSz26UH.jpg
TwistedFate,https://i.imgur.com/ofVJeMD.jpg
Twitch,https://i.imgur.com/9RCCUrI.jpg
Udyr,https://i.imgur.com/kFwpnXb.jpg
Veigar,https://i.imgur.com/ZSd2qHW.jpg
Velkoz,https://i.imgur.com/yGAWEcE.jpg
Vex,https://i.imgur.com/2YVeuPF.jpg
Vi,https://i.imgur.com/M7uCxYK.jpg
Viego,https://i.imgur.com/h5WdaSE.jpg
Viktor,https://i.imgur.com/KHSC0uG.jpg
Vladimir,https://i.imgur.com/4nsEggZ.jpg
Volibear,https://i.imgur.com/R0EPCYd.jpg
Warwick,https://i.imgur.com/0PoJxDj.jpg
Xayah,https://i.imgur.com/TxJctOC.jpg
Xerath,https://i.imgur.com/BP3A2HG.jpg
XinZhao,https://i.imgur.com/PewoYtB.jpg
Yasuo,https://i.imgur.com/bKsgYzN.jpg
Yone,https://i.imgur.com/bk77h2a.jpg
Yorick,https://i.imgur.com/Y6bfSyU.jpg
Yuumi,https://i.imgur.com/sKNT2ei.jpg
Zac,https://i.imgur.com/SZdRIvN.jpg
Zed,https://i.imgur.com/QJMiGNs.jpg
Zeri,https://i.imgur.com/ZPiv2kX.jpg
Ziggs,https://i.imgur.com/orQvrpY.jpg
Zilean,https://i.imgur.com/YxR3xJK.jpg
Zoe,https://i.imgur.com/Ls6DZUc.jpg
Zyra,https://i.imgur.com/zHlXO6D.jpg
